P ID,Group,WF,Task,Condition,Repetition,Correct Answer,ParticipantAnswer,Time
P2,G1,WF2,T3,Visualization,R2,A lot,A lot,1.15
P2,G1,WF2,T2,Text,R3,No,No,2.35
P2,G1,WF2,T4,Visualization,R3,Yes,Yes,1.18
P2,G1,WF2,T5,Text,R2,A little,A little,5.85
P2,G1,WF2,T1,Visualization,R3,Above,Above,0.65
P3,G1,WF1,T1,Text,R1,Below,Below,2.3
P3,G1,WF1,T2,Visualization,R1, No, No,4.05
P3,G1,WF1,T3,Text,R1,A little,Somewhat,6.45
P3,G1,WF1,T4,Text,R1,No,No,6.33
P3,G1,WF1,T5,Visualization,R1,A lot,A lot,1.13
P3,G1,WF1,T1,Text,R2,Above,Above,2.11
P3,G1,WF1,T2 ,Visualization,R2,Yes,Yes,0.69
P3,G1,WF1,T4,Text,R2,Beginning,Beginning,2.08
P3,G1,WF1,T3,Text,R2,A lot,A lot,3
P3,G1,WF1,T2,Visualization,R3,No,No,1.02
P3,G1,WF1,T4,Text,R3,Yes,Yes,7.18
P3,G1,WF1,T5,Visualization,R2,A little,A little,0.82
P3,G1,WF1,T1,Text,R3,Above,Above,2.91
P3,G1,WF2,T1,visualization,R1,Below,Below,1.12
P3,G1,WF2,T2,Text,R1, No, No,5.55
P3,G1,WF2,T3,Visualization,R1,A little,A little,1.35
P3,G1,WF2,T4,Visualization,R1,No,No,1.53
P3,G1,WF2,T5,Text,R1,A lot,A lot,8.17
P3,G1,WF2,T1,Visualization,R2,Above,Above,0.68
P3,G1,WF2,T2 ,Text,R2,Yes,Yes,3.12
P3,G1,WF2,T4,Visualization,R2,Beginning,Beginning,2.21
P3,G1,WF2,T3,Visualization,R2,A lot,A lot,2.1
P3,G1,WF2,T2,Text,R3,No,No,2.3
P3,G1,WF2,T4,Visualization,R3,Yes,Yes,1.13
P3,G1,WF2,T5,Text,R2,A little,A little,5.78
P3,G1,WF2,T1,Visualization,R3,Above,Above,1.68
P4,G1,WF1,T1,Text,R1,Below,Below,1.52
P4,G1,WF1,T2,Visualization,R1, No, No,3.55
P4,G1,WF1,T3,Text,R1,A little,A little,3.47
P4,G1,WF1,T4,Text,R1,No,No,6.22
P4,G1,WF1,T5,Visualization,R1,A lot,A lot,1.02
P4,G1,WF1,T1,Text,R2,Above,Above,2.02
P4,G1,WF1,T2 ,Visualization,R2,Yes,Yes,0.7
P4,G1,WF1,T4,Text,R2,Beginning,Beginning,2.1
P4,G1,WF1,T3,Text,R2,A lot,A lot,3.2
P4,G1,WF1,T2,Visualization,R3,No,No,1.05
P4,G1,WF1,T4,Text,R3,Yes,Yes,6.55
P4,G1,WF1,T5,Visualization,R2,A little,A little,1.01
P4,G1,WF1,T1,Text,R3,Above,Above,2.17
P4,G1,WF2,T1,visualization,R1,Below,Below,1.89
P4,G1,WF2,T2,Text,R1, No, No,5.5
P4,G1,WF2,T3,Visualization,R1,A little,A little,1.3
P4,G1,WF2,T4,Visualization,R1,No,No,1.42
P4,G1,WF2,T5,Text,R1,A lot,A lot,8.06
P4,G1,WF2,T1,Visualization,R2,Above,Above,0.75
P4,G1,WF2,T2 ,Text,R2,Yes,Yes,3.02
P4,G1,WF2,T4,Visualization,R2,Beginning,Beginning,1.87
P4,G1,WF2,T3,Visualization,R2,A lot,A lot,1.3
P4,G1,WF2,T2,Text,R3,No,No,2.55
P4,G1,WF2,T4,Visualization,R3,Yes,Yes,1.35
P4,G1,WF2,T5,Text,R2,A little,A little,6
P4,G1,WF2,T1,Visualization,R3,Above,Above,0.78
P5,G1,WF1,T1,Text,R1,Below,Below,1.42
P5,G1,WF1,T2,Visualization,R1, No, No,4.1
P5,G1,WF1,T3,Text,R1,A little,A little,4.55
P5,G1,WF1,T4,Text,R1,No,No,6.38
P5,G1,WF1,T5,Visualization,R1,A lot,A lot,1.18
P5,G1,WF1,T1,Text,R2,Above,Above,2.14
P5,G1,WF1,T2 ,Visualization,R2,Yes,Yes,0.73
P5,G1,WF1,T4,Text,R2,Beginning,Beginning,2.57
P5,G1,WF1,T3,Text,R2,A lot,A lot,3.05
P5,G1,WF1,T2,Visualization,R3,No,No,1.01
P5,G1,WF1,T4,Text,R3,Yes,Yes,6.36
P5,G1,WF1,T5,Visualization,R2,A little,A little,0.91
P5,G1,WF1,T1,Text,R3,Above,Above,2.05
P5,G1,WF2,T1,visualization,R1,Below,Below,1.19
P5,G1,WF2,T2,Text,R1, No, No,6.05
P5,G1,WF2,T3,Visualization,R1,A little,A little,1.4
P5,G1,WF2,T4,Visualization,R1,No,No,1.58
P5,G1,WF2,T5,Text,R1,A lot,A lot,8.22
P5,G1,WF2,T1,Visualization,R2,Above,Above,0.72
P5,G1,WF2,T2 ,Text,R2,Yes,Yes,3.17
P5,G1,WF2,T4,Visualization,R2,Beginning,Beginning,2.07
P5,G1,WF2,T3,Visualization,R2,A lot,A lot,1.22
P5,G1,WF2,T2,Text,R3,No,No,2.43
P5,G1,WF2,T4,Visualization,R3,Yes,Yes,1.23
P5,G1,WF2,T5,Text,R2,A little,A little,5.88
P5,G1,WF2,T1,Visualization,R3,Above,Above,0.92
P6,G1,WF1,T1,Text,R1,Below,Below,1.56
P6,G1,WF1,T2,Visualization,R1, No, No,3.45
P6,G1,WF1,T3,Text,R1,A little,A little,4.25
P6,G1,WF1,T4,Text,R1,No,No,6.11
P6,G1,WF1,T5,Visualization,R1,A lot,A lot,0.56
P6,G1,WF1,T1,Text,R2,Above,Above,1.49
P6,G1,WF1,T2 ,Visualization,R2,Yes,Yes,0.68
P6,G1,WF1,T4,Text,R2,Beginning,Beginning,2.05
P6,G1,WF1,T3,Text,R2,A lot,Somewhat,2.95
P6,G1,WF1,T2,Visualization,R3,No,No,0.92
P6,G1,WF1,T4,Text,R3,Yes,Yes,5.28
P6,G1,WF1,T5,Visualization,R2,A little,A little,0.78
P6,G1,WF1,T1,Text,R3,Above,Above,1.63
P6,G1,WF2,T1,visualization,R1,Below,Below,2.15
P6,G1,WF2,T2,Text,R1, No, No,5.35
P6,G1,WF2,T3,Visualization,R1,A little,A little,1.15
P6,G1,WF2,T4,Visualization,R1,No,No,1.31
P6,G1,WF2,T5,Text,R1,A lot,A lot,7.55
P6,G1,WF2,T1,Visualization,R2,Above,Above,0.73
P6,G1,WF2,T2 ,Text,R2,Yes,Yes,2.5
P6,G1,WF2,T4,Visualization,R2,Beginning,Beginning,2.05
P6,G1,WF2,T3,Visualization,R2,A lot,A lot,1.18
P6,G1,WF2,T2,Text,R3,No,No,2.38
P6,G1,WF2,T4,Visualization,R3,Yes,Yes,1.17
P6,G1,WF2,T5,Text,R2,A little,A little,4.85
P6,G1,WF2,T1,Visualization,R3,Above,Above,0.68
P7,G1,WF1,T1,Text,R1,Below,Below,2.35
P7,G1,WF1,T2,Visualization,R1, No, No,4.15
P7,G1,WF1,T3,Text,R1,A little,Somewhat,4.13
P7,G1,WF1,T4,Text,R1,No,No,6.06
P7,G1,WF1,T5,Visualization,R1,A lot,A lot,0.46
P7,G1,WF1,T1,Text,R2,Above,Above,1.44
P7,G1,WF1,T2 ,Visualization,R2,Yes,Yes,0.67
P7,G1,WF1,T4,Text,R2,Beginning,Beginning,1.98
P7,G1,WF1,T3,Text,R2,A lot,A lot,3.25
P7,G1,WF1,T2,Visualization,R3,No,No,0.98
P7,G1,WF1,T4,Text,R3,Yes,Yes,6.65
P7,G1,WF1,T5,Visualization,R2,A little,A little,1.1
P7,G1,WF1,T1,Text,R3,Above,Above,2.15
P7,G1,WF2,T1,visualization,R1,Below,Below,0.98
P7,G1,WF2,T2,Text,R1, No, No,4.1
P7,G1,WF2,T3,Visualization,R1,A little,A little,1.1
P7,G1,WF2,T4,Visualization,R1,No,No,1.26
P7,G1,WF2,T5,Text,R1,A lot,A lot,7.5
P7,G1,WF2,T1,Visualization,R2,Above,Above,0.69
P7,G1,WF2,T2 ,Text,R2,Yes,Yes,2.45
P7,G1,WF2,T4,Visualization,R2,Beginning,Beginning,1.98
P7,G1,WF2,T3,Visualization,R2,A lot,A lot,1.35
P7,G1,WF2,T2,Text,R3,No,No,2.65
P7,G1,WF2,T4,Visualization,R3,Yes,Yes,0.98
P7,G1,WF2,T5,Text,R2,A little,A little,6.05
P7,G1,WF2,T1,Visualization,R3,Above,Above,0.68
P8,G1,WF1,T1,Text,R1,Below,Below,1.49
P8,G1,WF1,T2,Visualization,R1, No, No,3.4
P8,G1,WF1,T3,Text,R1,A little,A little,4.5
P8,G1,WF1,T4,Text,R1,No,No,6.43
P8,G1,WF1,T5,Visualization,R1,A lot,A lot,1.1
P8,G1,WF1,T1,Text,R2,Above,Above,2.11
P8,G1,WF1,T2 ,Visualization,R2,Yes,Yes,0.72
P8,G1,WF1,T4,Text,R2,Beginning,Beginning,2.03
P8,G1,WF1,T3,Text,R2,A lot,A lot,3.08
P8,G1,WF1,T2,Visualization,R3,No,No,1.04
P8,G1,WF1,T4,Text,R3,Yes,No,6.45
P8,G1,WF1,T5,Visualization,R2,A little,A little,0.97
P8,G1,WF1,T1,Text,R3,Above,Above,2.12
P8,G1,WF2,T1,visualization,R1,Below,Below,1.23
P8,G1,WF2,T2,Text,R1, No, No,5.3
P8,G1,WF2,T3,Visualization,R1,A little,A little,1.45
P8,G1,WF2,T4,Visualization,R1,No,No,1.53
P8,G1,WF2,T5,Text,R1,A lot,A lot,8.17
P8,G1,WF2,T1,Visualization,R2,Above,Above,0.74
P8,G1,WF2,T2 ,Text,R2,Yes,Yes,3.12
P8,G1,WF2,T4,Visualization,R2,Beginning,Beginning,2.03
P8,G1,WF2,T3,Visualization,R2,A lot,A lot,1.28
P8,G1,WF2,T2,Text,R3,No,No,2.5
P8,G1,WF2,T4,Visualization,R3,Yes,Yes,1.31
P8,G1,WF2,T5,Text,R2,A little,A little,5.94
P8,G1,WF2,T1,Visualization,R3,Above,Above,1.28
P9,G1,WF1,T1,Text,R1,Below,Below,1.07
P9,G1,WF1,T2,Visualization,R1, No, No,4.2
P9,G1,WF1,T3,Text,R1,A little,A little,4.22
P9,G1,WF1,T4,Text,R1,No,No,6
P9,G1,WF1,T5,Visualization,R1,A lot,A lot,0.33
P9,G1,WF1,T1,Text,R2,Above,Above,1.28
P9,G1,WF1,T2 ,Visualization,R2,Yes,Yes,0.66
P9,G1,WF1,T4,Text,R2,Beginning,Beginning,2.02
P9,G1,WF1,T3,Text,R2,A lot,A lot,3.12
P9,G1,WF1,T2,Visualization,R3,No,No,1.07
P9,G1,WF1,T4,Text,R3,Yes,Yes,6.42
P9,G1,WF1,T5,Visualization,R2,A little,A little,0.94
P9,G1,WF1,T1,Text,R3,Above,Above,2.08
P9,G1,WF2,T1,visualization,R1,Below,Below,1.28
P9,G1,WF2,T2,Text,R1, No, No,6.15
P9,G1,WF2,T3,Visualization,R1,A little,A little,1.05
P9,G1,WF2,T4,Visualization,R1,No,No,1.1
P9,G1,WF2,T5,Text,R1,A lot,A lot,7.34
P9,G1,WF2,T1,Visualization,R2,Above,Above,0.76
P9,G1,WF2,T2 ,Text,R2,Yes,Yes,1.4
P9,G1,WF2,T4,Visualization,R2,Beginning,Beginning,2.12
P9,G1,WF2,T3,Visualization,R2,A lot,A lot,1.25
P9,G1,WF2,T2,Text,R3,No,No,2.45
P9,G1,WF2,T4,Visualization,R3,Yes,Yes,1.27
P9,G1,WF2,T5,Text,R2,A little,A little,6.02
P9,G1,WF2,T1,Visualization,R3,Above,Above,0.76
P10,G1,WF1,T1,Text,R1,Below,Below,1.28
P10,G1,WF1,T2,Visualization,R1, No, No,3.35
P10,G1,WF1,T3,Text,R1,A little,A little,5.52
P10,G1,WF1,T4,Text,R1,No,No,6.48
P10,G1,WF1,T5,Visualization,R1,A lot,A lot,1.18
P10,G1,WF1,T1,Text,R2,Above,Above,2.09
P10,G1,WF1,T2 ,Visualization,R2,Yes,Yes,0.85
P10,G1,WF1,T4,Text,R2,Beginning,Beginning,1.97
P10,G1,WF1,T3,Text,R2,A lot,A lot,3.18
P10,G1,WF1,T2,Visualization,R3,No,No,0.95
P10,G1,WF1,T4,Text,R3,Yes,Yes,6.3
P10,G1,WF1,T5,Visualization,R2,A little,A little,1.04
P10,G1,WF1,T1,Text,R3,Above,Above,2.02
P10,G1,WF2,T1,visualization,R1,Below,Below,1.31
P10,G1,WF2,T2,Text,R1, No, No,4.25
P10,G1,WF2,T3,Visualization,R1,A little,A little,1.5
P10,G1,WF2,T4,Visualization,R1,No,No,1.58
P10,G1,WF2,T5,Text,R1,A lot,A lot,8.22
P10,G1,WF2,T1,Visualization,R2,Above,Above,0.68
P10,G1,WF2,T2 ,Text,R2,Yes,Yes,3.17
P10,G1,WF2,T4,Visualization,R2,Beginning,Beginning,1.87
P10,G1,WF2,T3,Visualization,R2,A lot,A lot,1.2
P10,G1,WF2,T2,Text,R3,No,No,2.4
P10,G1,WF2,T4,Visualization,R3,Yes,Yes,1.21
P10,G1,WF2,T5,Text,R2,A little,A little,5.64
P10,G1,WF2,T1,Visualization,R3,Above,Above,0.97
P11,G2,WF1,T1,Text,R1,Below,Below,1.45
P11,G2,WF1,T2,Visualization,R1, No, No,4.25
P11,G2,WF1,T3,Text,R1,A little,A little,4.1
P11,G2,WF1,T4,Text,R1,No,No,6
P11,G2,WF1,T5,Visualization,R1,A lot,A lot,0.47
P11,G2,WF1,T1,Text,R2,Above,Above,1.39
P11,G2,WF1,T2 ,Visualization,R2,Yes,Yes,0.72
P11,G2,WF1,T4,Text,R2,Beginning,Beginning,1.99
P11,G2,WF1,T3,Text,R2,A lot,A lot,3.03
P11,G2,WF1,T2,Visualization,R3,No,No,1.01
P11,G2,WF1,T4,Text,R3,Yes,Yes,6.27
P11,G2,WF1,T5,Visualization,R2,A little,A little,0.83
P11,G2,WF1,T1,Text,R3,Above,Above,1.97
P11,G2,WF2,T1,visualization,R1,Below,Below,1.07
P11,G2,WF2,T2,Text,R1, No, No,6.2
P11,G2,WF2,T3,Visualization,R1,A little,A little,1.02
P11,G2,WF2,T4,Visualization,R1,No,No,1.12
P11,G2,WF2,T5,Text,R1,A lot,A lot,7.36
P11,G2,WF2,T1,Visualization,R2,Above,Above,0.71
P11,G2,WF2,T2 ,Text,R2,Yes,Yes,2.42
P11,G2,WF2,T4,Visualization,R2,Beginning,Beginning,1.95
P11,G2,WF2,T3,Visualization,R2,A lot,A lot,1.17
P11,G2,WF2,T2,Text,R3,No,No,2.37
P11,G2,WF2,T4,Visualization,R3,Yes,Yes,1.16
P11,G2,WF2,T5,Text,R2,A little,A little,5.99
P11,G2,WF2,T1,Visualization,R3,Above,Above,0.67
P12,G2,WF1,T1,Text,R1,Below,Below,1.28
P12,G2,WF1,T2,Visualization,R1, No, No,3.3
P12,G2,WF1,T3,Text,R1,A little,A little,4.3
P12,G2,WF1,T4,Text,R1,No,No,5.25
P12,G2,WF1,T5,Visualization,R1,A lot,A lot,1.05
P12,G2,WF1,T1,Text,R2,Above,Above,2.03
P12,G2,WF1,T2 ,Visualization,R2,Yes,Yes,2.28
P12,G2,WF1,T4,Text,R2,Beginning,Beginning,2.34
P12,G2,WF1,T3,Text,R2,A lot,A lot,3.3
P12,G2,WF1,T2,Visualization,R3,No,No,1.02
P12,G2,WF1,T4,Text,R3,Yes,Yes,6.47
P12,G2,WF1,T5,Visualization,R2,A little,A little,0.96
P12,G2,WF1,T1,Text,R3,Above,Above,2.09
P12,G2,WF2,T1,visualization,R1,Below,Below,2.03
P12,G2,WF2,T2,Text,R1, No, No,5.2
P12,G2,WF2,T3,Visualization,R1,A little,A little,1.33
P12,G2,WF2,T4,Visualization,R1,No,No,1.45
P12,G2,WF2,T5,Text,R1,A lot,A lot,8.09
P12,G2,WF2,T1,Visualization,R2,Above,Above,0.73
P12,G2,WF2,T2 ,Text,R2,Yes,Yes,3.05
P12,G2,WF2,T4,Visualization,R2,Beginning,Beginning,2.31
P12,G2,WF2,T3,Visualization,R2,A lot,A lot,1.27
P12,G2,WF2,T2,Text,R3,No,No,2.47
P12,G2,WF2,T4,Visualization,R3,Yes,Yes,1.37
P12,G2,WF2,T5,Text,R2,A little,A little,5.17
P12,G2,WF2,T1,Visualization,R3,Above,Above,0.79
P13,G2,WF1,T1,Text,R1,Below,Below,1.51
P13,G2,WF1,T2,Visualization,R1, No, No,4.3
P13,G2,WF1,T3,Text,R1,A little,Somewhat,3.05
P13,G2,WF1,T4,Text,R1,No,No,5.59
P13,G2,WF1,T5,Visualization,R1,A lot,A lot,0.29
P13,G2,WF1,T1,Text,R2,Above,Above,1.27
P13,G2,WF1,T2 ,Visualization,R2,Yes,Yes,0.92
P13,G2,WF1,T4,Text,R2,Beginning,Beginning,2.86
P13,G2,WF1,T3,Text,R2,A lot,A lot,2.98
P13,G2,WF1,T2,Visualization,R3,No,No,1.03
P13,G2,WF1,T4,Text,R3,Yes,Somewhat,6.38
P13,G2,WF1,T5,Visualization,R2,A little,A little,0.92
P13,G2,WF1,T1,Text,R3,Above,Above,2.24
P13,G2,WF2,T1,visualization,R1,Below,Below,1.4
P13,G2,WF2,T2,Text,R1, No, No,6.25
P13,G2,WF2,T3,Visualization,R1,A little,A little,1
P13,G2,WF2,T4,Visualization,R1,No,No,0.59
P13,G2,WF2,T5,Text,R1,A lot,A lot,7.33
P13,G2,WF2,T1,Visualization,R2,Above,Above,0.75
P13,G2,WF2,T2 ,Text,R2,Yes,Yes,1.89
P13,G2,WF2,T4,Visualization,R2,Beginning,Beginning,2.03
P13,G2,WF2,T3,Visualization,R2,A lot,A lot,1.23
P13,G2,WF2,T2,Text,R3,No,No,2.44
P13,G2,WF2,T4,Visualization,R3,Yes,Yes,1.24
P13,G2,WF2,T5,Text,R2,A little,A little,5.92
P13,G2,WF2,T1,Visualization,R3,Above,Above,0.84
P14,G2,WF1,T1,Text,R1,Below,Below,1.38
P14,G2,WF1,T2,Visualization,R1, No, No,3.25
P14,G2,WF1,T3,Text,R1,A little,A little,4.43
P14,G2,WF1,T4,Text,R1,No,No,6.53
P14,G2,WF1,T5,Visualization,R1,A lot,A lot,1.18
P14,G2,WF1,T1,Text,R2,Above,Above,2.16
P14,G2,WF1,T2 ,Visualization,R2,Yes,Yes,0.28
P14,G2,WF1,T4,Text,R2,Beginning,Beginning,1.9
P14,G2,WF1,T3,Text,R2,A lot,A lot,3.07
P14,G2,WF1,T2,Visualization,R3,No,No,0.99
P14,G2,WF1,T4,Text,R3,Yes,Yes,6.44
P14,G2,WF1,T5,Visualization,R2,A little,A little,1.08
P14,G2,WF1,T1,Text,R3,Above,Above,2.11
P14,G2,WF2,T1,visualization,R1,Below,Below,1.03
P14,G2,WF2,T2,Text,R1, No, No,5.15
P14,G2,WF2,T3,Visualization,R1,A little,A little,1.55
P14,G2,WF2,T4,Visualization,R1,No,No,1.58
P14,G2,WF2,T5,Text,R1,A lot,A lot,8.22
P14,G2,WF2,T1,Visualization,R2,Above,Above,0.71
P14,G2,WF2,T2 ,Text,R2,Yes,Yes,3.17
P14,G2,WF2,T4,Visualization,R2,Beginning,Beginning,2.1
P14,G2,WF2,T3,Visualization,R2,A lot,A lot,1.29
P14,G2,WF2,T2,Text,R3,No,No,2.49
P14,G2,WF2,T4,Visualization,R3,Yes,Yes,1.32
P14,G2,WF2,T5,Text,R2,A little,A little,5.53
P14,G2,WF2,T1,Visualization,R3,Above,Above,0.63
P15,G2,WF1,T1,Text,R1,Below,Below,2.01
P15,G2,WF1,T2,Visualization,R1, No, No,4.35
P15,G2,WF1,T3,Text,R1,A little,A little,4.15
P15,G2,WF1,T4,Text,R1,No,No,5.08
P15,G2,WF1,T5,Visualization,R1,A lot,A lot,0.43
P15,G2,WF1,T1,Text,R2,Above,Above,0.89
P15,G2,WF1,T2 ,Visualization,R2,Yes,Yes,0.64
P15,G2,WF1,T4,Text,R2,Beginning,Beginning,1.96
P15,G2,WF1,T3,Text,R2,A lot,Somewhat,3.23
P15,G2,WF1,T2,Visualization,R3,No,No,1.03
P15,G2,WF1,T4,Text,R3,Yes,Yes,6.21
P15,G2,WF1,T5,Visualization,R2,A little,A little,0.87
P15,G2,WF1,T1,Text,R3,Above,Above,1.24
P15,G2,WF2,T1,visualization,R1,Below,Below,1.53
P15,G2,WF2,T2,Text,R1, No, No,4.35
P15,G2,WF2,T3,Visualization,R1,A little,A little,1.1
P15,G2,WF2,T4,Visualization,R1,No,No,1.23
P15,G2,WF2,T5,Text,R1,A lot,A lot,5.47
P15,G2,WF2,T1,Visualization,R2,Above,Above,1.03
P15,G2,WF2,T2 ,Text,R2,Yes,Yes,1.55
P15,G2,WF2,T4,Visualization,R2,Beginning,Beginning,2.53
P15,G2,WF2,T3,Visualization,R2,A lot,A lot,1.14
P15,G2,WF2,T2,Text,R3,No,No,2.34
P15,G2,WF2,T4,Visualization,R3,Yes,Yes,1.15
P15,G2,WF2,T5,Text,R2,A little,A little,5.92
P15,G2,WF2,T1,Visualization,R3,Above,Above,1.11
P16,G2,WF1,T1,Text,R1,Below,Below,1.41
P16,G2,WF1,T2,Visualization,R1, No, No,3.2
P16,G2,WF1,T3,Text,R1,A little,Somewhat,5.03
P16,G2,WF1,T4,Text,R1,No,No,5.58
P16,G2,WF1,T5,Visualization,R1,A lot,A lot,0.28
P16,G2,WF1,T1,Text,R2,Above,Above,2.34
P16,G2,WF1,T2 ,Visualization,R2,Yes,Yes,0.77
P16,G2,WF1,T4,Text,R2,Beginning,Beginning,2.09
P16,G2,WF1,T3,Text,R2,A lot,A lot,3.02
P16,G2,WF1,T2,Visualization,R3,No,No,1
P16,G2,WF1,T4,Text,R3,Yes,Yes,6.32
P16,G2,WF1,T5,Visualization,R2,A little,A little,0.93
P16,G2,WF1,T1,Text,R3,Above,Above,1.99
P16,G2,WF2,T1,visualization,R1,Below,Below,2.06
P16,G2,WF2,T2,Text,R1, No, No,5.1
P16,G2,WF2,T3,Visualization,R1,A little,Somewhat,3.34
P16,G2,WF2,T4,Visualization,R1,No,No,0.58
P16,G2,WF2,T5,Text,R1,A lot,A lot,7.32
P16,G2,WF2,T1,Visualization,R2,Above,Above,0.84
P16,G2,WF2,T2 ,Text,R2,Yes,Yes,2.39
P16,G2,WF2,T4,Visualization,R2,Beginning,Beginning,2.05
P16,G2,WF2,T3,Visualization,R2,A lot,A lot,1.19
P16,G2,WF2,T2,Text,R3,No,No,2.39
P16,G2,WF2,T4,Visualization,R3,Yes,Yes,1.19
P16,G2,WF2,T5,Text,R2,A little,A little,5.87
P16,G2,WF2,T1,Visualization,R3,Above,Above,0.69
P17,G2,WF1,T1,Text,R1,Below,Below,1.56
P17,G2,WF1,T2,Visualization,R1, No, No,4.4
P17,G2,WF1,T3,Text,R1,A little,A little,4.55
P17,G2,WF1,T4,Text,R1,No,No,6.53
P17,G2,WF1,T5,Visualization,R1,A lot,A lot,1.18
P17,G2,WF1,T1,Text,R2,Above,Above,2.16
P17,G2,WF1,T2 ,Visualization,R2,Yes,Yes,0.74
P17,G2,WF1,T4,Text,R2,Beginning,Beginning,2.12
P17,G2,WF1,T3,Text,R2,A lot,A lot,3.09
P17,G2,WF1,T2,Visualization,R3,No,No,1.01
P17,G2,WF1,T4,Text,R3,Yes,Yes,7.4
P17,G2,WF1,T5,Visualization,R2,A little,A little,0.71
P17,G2,WF1,T1,Text,R3,Above,Above,2.07
P17,G2,WF2,T1,visualization,R1,Below,Below,1.52
P17,G2,WF2,T2,Text,R1, No, No,6.35
P17,G2,WF2,T3,Visualization,R1,A little,A little,1.55
P17,G2,WF2,T4,Visualization,R1,No,No,1.58
P17,G2,WF2,T5,Text,R1,A lot,A lot,8.22
P17,G2,WF2,T1,Visualization,R2,Above,Above,0.68
P17,G2,WF2,T2 ,Text,R2,Yes,Yes,3.17
P17,G2,WF2,T4,Visualization,R2,Beginning,Beginning,1.98
P17,G2,WF2,T3,Visualization,R2,A lot,A lot,1.24
P17,G2,WF2,T2,Text,R3,No,No,2.46
P17,G2,WF2,T4,Visualization,R3,Yes,Yes,1.26
P17,G2,WF2,T5,Text,R2,A little,A little,5.95
P17,G2,WF2,T1,Visualization,R3,Above,Above,0.87
P18,G2,WF1,T1,Text,R1,Below,Below,2.33
P18,G2,WF1,T2,Visualization,R1, No, No,3.15
P18,G2,WF1,T3,Text,R1,A little,A little,3.33
P18,G2,WF1,T4,Text,R1,No,No,6.11
P18,G2,WF1,T5,Visualization,R1,A lot,A lot,0.31
P18,G2,WF1,T1,Text,R2,Above,Above,1.29
P18,G2,WF1,T2 ,Visualization,R2,Yes,Yes,0.97
P18,G2,WF1,T4,Text,R2,Beginning,Beginning,2.41
P18,G2,WF1,T3,Text,R2,A lot,A lot,3.14
P18,G2,WF1,T2,Visualization,R3,No,No,0.97
P18,G2,WF1,T4,Text,R3,Yes,Yes,6.34
P18,G2,WF1,T5,Visualization,R2,A little,A little,0.89
